Time , CPU (%), Memory Usage (%), TestCase
12:38:14,28,0.89,AF_NFV_001
12:38:17,22,0.88,AF_NFV_001
12:38:20,10,0.88,AF_NFV_001
12:38:22,8,0.89,AF_NFV_001
12:38:25,13,0.88,AF_NFV_001
12:38:27,33,0.89,AF_NFV_001
12:38:30,18,0.89,AF_NFV_001
12:38:32,18,0.88,AF_NFV_001
12:38:35,5,0.88,AF_NFV_001
12:38:37,12,0.88,AF_NFV_001
12:38:40,29,0.93,AF_NFV_001
12:38:42,13,0.88,AF_NFV_001
12:38:45,16,0.84,AF_NFV_001
12:38:47,8,0.84,AF_NFV_001
12:38:50,30,0.81,AF_NFV_001
12:38:53,26,0.86,AF_NFV_001
12:38:55,41,0.80,AF_NFV_001
12:38:58,19,0.83,AF_NFV_001
12:39:00,8,0.84,AF_NFV_001
12:39:03,15,0.84,AF_NFV_001
12:39:05,15,0.84,AF_NFV_001
12:39:08,21,0.80,AF_NFV_001
12:39:10,15,0.88,AF_NFV_001
12:39:13,16,0.88,AF_NFV_001
12:39:16,4,0.88,AF_NFV_001
12:39:18,1,0.88,AF_NFV_001
12:39:21,4,0.97,AF_NFV_001
