Time,load,CPU
 05.29.33 ,LoadPercentage  ,40              ,
 05.29.37 ,LoadPercentage  ,35              ,
 05.29.38 ,LoadPercentage  ,48              ,
 05.29.39 ,LoadPercentage  ,40              ,
 05.29.40 ,LoadPercentage  ,41              ,
 05.29.42 ,LoadPercentage  ,71              ,
 05.29.43 ,LoadPercentage  ,83              ,
 05.29.44 ,LoadPercentage  ,59              ,
 05.29.45 ,LoadPercentage  ,60              ,
 05.29.47 ,LoadPercentage  ,49              ,
 05.29.48 ,LoadPercentage  ,62              ,
 05.29.49 ,LoadPercentage  ,44              ,
 05.29.50 ,LoadPercentage  ,91              ,
 05.29.51 ,LoadPercentage  ,72              ,
 05.29.52 ,LoadPercentage  ,71              ,
 05.29.53 ,LoadPercentage  ,68              ,
 05.29.55 ,LoadPercentage  ,59              ,
 05.29.56 ,LoadPercentage  ,76              ,
 05.29.57 ,LoadPercentage  ,74              ,
 05.29.58 ,LoadPercentage  ,71              ,
 05.29.59 ,LoadPercentage  ,52              ,
 05.30.00 ,LoadPercentage  ,62              ,
 05.30.02 ,LoadPercentage  ,26              ,
